ID,duration,wav,wav_format,wav_opts
Noise_1,300.0,./Extracted_Noise\ch01.wav,wav,
Noise_2,300.0,./Extracted_Noise\ch02.wav,wav,
Noise_3,300.0,./Extracted_Noise\ch03.wav,wav,
Noise_4,300.0,./Extracted_Noise\ch04.wav,wav,
Noise_5,300.0,./Extracted_Noise\ch05.wav,wav,
Noise_6,300.0,./Extracted_Noise\ch06.wav,wav,
Noise_7,300.0,./Extracted_Noise\ch07.wav,wav,
Noise_8,300.0,./Extracted_Noise\ch08.wav,wav,
Noise_9,300.0,./Extracted_Noise\ch09.wav,wav,
Noise_10,300.0,./Extracted_Noise\ch10.wav,wav,
Noise_11,300.0,./Extracted_Noise\ch11.wav,wav,
Noise_12,300.0,./Extracted_Noise\ch12.wav,wav,
Noise_13,300.0,./Extracted_Noise\ch13.wav,wav,
Noise_14,300.0,./Extracted_Noise\ch14.wav,wav,
Noise_15,300.0,./Extracted_Noise\ch15.wav,wav,
Noise_16,300.0,./Extracted_Noise\ch16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
